id,url,lb_type_bien,ville,price,pieces,surface,date_annonce,dependance,annexe,classe_energie,gaz_effet_serre
1262681370,https://www.paruvendu.fr/immobilier/prestige/maison/maison-saint-remy-les-chevreuse-8-pieces-324-m2/1262681370A1KIVHMN000,Maison,Saint-Rémy-lès-Chevreuse (78470),1175000,8,320,23/08/2022,Balcon,Cave,C,D
1262679095,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-1-piece/1262679095A1KIVHAP000,Appartement,Drancy (93700),119000,1,23,23/08/2022,NC,Cave,E,E
1262679341,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-4-pieces/1262679341A1KIVHAP000,Appartement,Draveil (91210),284000,4,88,22/08/2022,Terrasse,NC,E,B
1262679193,https://www.paruvendu.fr/immobilier/vente/appartement/vente-duplex-3-pieces/1262679193A1KIVHAP000,Appartement,Bussy-Saint-Georges (77600),310000,3,80,20/08/2022,Terrasse,Parking,C,D
1262679124,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262679124A1KIVHAP000,Appartement,Pringy (77310),240000,3,63,20/08/2022,NC,Parking,E,B
1262679472,https://www.paruvendu.fr/immobilier/prestige/maison/maison-f5/1262679472A1KIVHMN000,Maison,Chatou (78400),767000,5,97,20/08/2022,NC,NC,D,D
1262678973,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-7-pieces/1262678973A1KIVHMN000,Maison,Champagne-sur-Seine (77430),420000,7,170,20/08/2022,Terrasse,Cave,D,D
1262679015,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-2-pieces/1262679015A1KIVHAP000,Appartement,Saint-Cyr-l'École (78210),234000,2,44,20/08/2022,Balcon,Parking,C,A
1262679051,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-2-pieces/1262679051A1KIVHAP000,Appartement,Créteil (94000),290000,2,55,20/08/2022,Terrasse,Parking,C,A
1262680982,https://www.paruvendu.fr/immobilier/vente/maison/nointel-rare-sur-la-commune-maison-8-pieces-principales/1262680982A1KIVHMN000,Maison,L'Isle-Adam (95290),490000,8,240,20/08/2022,Terrasse,Box,D,D
1262678952,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262678952A1KIVHMN000,Maison,La Ferté-sous-Jouarre (77260),300000,5,112,20/08/2022,NC,Cave,D,D
1262679300,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-2-pieces/1262679300A1KIVHAP000,Appartement,Boulogne-Billancourt (92100),430000,2,40,20/08/2022,NC,Cave,F,C
1262681010,https://www.paruvendu.fr/immobilier/prestige/appartement/t5/1262681010A1KIVHAP000,Appartement,Paris 13,1496000,5,102,20/08/2022,Terrasse,Cave,D,B
1262681094,https://www.paruvendu.fr/immobilier/prestige/maison/maison/1262681094A1KIVHMN000,Maison,Bièvres (91570),1240000,6,202,20/08/2022,Terrasse,Box,D,D
1262679079,https://www.paruvendu.fr/immobilier/prestige/maison/vente-maison-villa-6-pieces/1262679079A1KIVHMN000,Maison,Yerres (91330),609600,6,167,20/08/2022,Terrasse,Box,D,E
1262678932,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262678932A1KIVHAP000,Appartement,Fontenay-le-Fleury (78330),305000,3,59,20/08/2022,Terrasse,Parking,D,B
1262679232,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-4-pieces/1262679232A1KIVHMN000,Maison,Sermaise (91530),307000,4,140,20/08/2022,NC,NC,E,B
1262680943,https://www.paruvendu.fr/immobilier/vente/maison/maison-a-10-minutes-de-meaux/1262680943A1KIVHMN000,Maison,Montceaux-lès-Meaux (77470),270000,5,98,20/08/2022,Terrasse,NC,F,C
1262679147,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-5-pieces/1262679147A1KIVHMN000,Maison,Saulx-les-Chartreux (91160),464000,5,128,20/08/2022,Terrasse,Box,C,D
1262681031,https://www.paruvendu.fr/immobilier/vente/appartement/t1/1262681031A1KIVHAP000,Appartement,La Ferté-sous-Jouarre (77260),110000,1,20,20/08/2022,NC,NC,D,D
1262681043,https://www.paruvendu.fr/immobilier/vente/appartement/t3/1262681043A1KIVHAP000,Appartement,Montrouge (92120),535000,3,60,20/08/2022,NC,Parking,D,D
1262681403,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-sannois-2-piece-s-40-15-m2/1262681403A1KIVHAP000,Appartement,Sannois (95110),251000,2,40,20/08/2022,Terrasse,NC,NC,NC
1262681463,https://www.paruvendu.fr/immobilier/vente/appartement/dpt-seine-et-marne-77-a-vendre-tournan-en-brie-appartemen/1262681463A1KIVHAP000,Appartement,Tournan-en-Brie (77220),248000,2,47,20/08/2022,Terrasse,Parking,NC,NC
1262678971,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262678971A1KIVHAP000,Appartement,Rosny-sous-Bois (93110),280000,3,67,20/08/2022,NC,Parking,D,E
1262681083,https://www.paruvendu.fr/immobilier/vente/appartement/t4/1262681083A1KIVHAP000,Appartement,Clichy-sous-Bois (93390),160000,4,75,20/08/2022,NC,Cave,E,E
1262681125,https://www.paruvendu.fr/immobilier/vente/appartement/studio-proche-batignolles/1262681125A1KIVHAP000,Appartement,Paris 17,159000,1,13,20/08/2022,NC,NC,G,C
1262681377,https://www.paruvendu.fr/immobilier/vente/appartement/appartement-vigneux-sur-seine-3-piece-s-60-m2/1262681377A1KIVHAP000,Appartement,Vigneux-sur-Seine (91270),169500,3,60,20/08/2022,NC,Parking,NC,NC
1262679022,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262679022A1KIVHAP000,Appartement,Argenteuil (95100),249000,3,64,20/08/2022,Terrasse,Parking,E,E
1262681440,https://www.paruvendu.fr/immobilier/prestige/appartement/dpt-paris-75-a-vendre-paris-15eme-arrondissement-appartem/1262681440A1KIVHAP000,Appartement,Paris 15,2020000,3,130,20/08/2022,NC,NC,NC,NC
1262681055,https://www.paruvendu.fr/immobilier/vente/appartement/t3/1262681055A1KIVHAP000,Appartement,Saint-Fargeau-Ponthierry (77310),180000,3,65,20/08/2022,Balcon,Box,C,C
1262681061,https://www.paruvendu.fr/immobilier/prestige/maison/maison/1262681061A1KIVHMN000,Maison,Bièvres (91570),889000,5,143,20/08/2022,Terrasse,Box,D,B
1262681067,https://www.paruvendu.fr/immobilier/vente/maison/maison/1262681067A1KIVHMN000,Maison,Provins (77160),179000,3,74,20/08/2022,NC,Box,G,G
1262678912,https://www.paruvendu.fr/immobilier/vente/appartement/vente-appartement-3-pieces/1262678912A1KIVHAP000,Appartement,Élancourt (78990),206850,3,62,20/08/2022,Balcon,Parking,C,C
1262679146,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-4-pieces/1262679146A1KIVHMN000,Maison,Savigny-le-Temple (77176),274900,4,103,20/08/2022,Terrasse,NC,C,D
1262679163,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-4-pieces/1262679163A1KIVHMN000,Maison,Saint-Vrain (91770),384000,4,114,20/08/2022,Terrasse,NC,F,C
1262679184,https://www.paruvendu.fr/immobilier/prestige/maison/vente-maison-villa-6-pieces/1262679184A1KIVHMN000,Maison,Montesson (78360),1250000,6,189,20/08/2022,Terrasse,Box,C,C
1262678879,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-7-pieces/1262678879A1KIVHMN000,Maison,Jouy-sur-Morin (77320),388000,7,178,20/08/2022,Terrasse,Box,C,C
1262679143,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-6-pieces/1262679143A1KIVHMN000,Maison,Ablis (78660),309000,6,135,20/08/2022,Terrasse,Parking,E,B
1262679161,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-3-pieces/1262679161A1KIVHMN000,Maison,Gretz-Armainvilliers (77220),309500,3,72,20/08/2022,NC,Box,F,F
1262679269,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-6-pieces/1262679269A1KIVHMN000,Maison,Ormesson-sur-Marne (94490),557000,6,110,20/08/2022,Terrasse,Box,D,B
1262678883,https://www.paruvendu.fr/immobilier/vente/maison/vente-maison-villa-8-pieces/1262678883A1KIVHMN000,Maison,Mitry-Mory (77290),437000,8,157,20/08/2022,Terrasse,NC,E,C
