id_emplacement,cd_postal,lb_ville
323,94,Arcueil 
324,77164,Ferrières-en-Brie 
325,94230,Cachan 
326,78270,Chaufour-lès-Bonnières 
327,91760,Itteville 
328,78910,Orgerus 
329,78790,Arnouville-lès-Mantes 
330,78980,Bréval 
331,75012,Paris
332,91410,La Forêt-le-Roi 
333,78770,Thoiry 
334,94500,Champigny-sur-Marne 
335,95260,Mours 
336,95340,Persan 
337,95820,Bruyères-sur-Oise 
338,95340,Bernes-sur-Oise 
339,75,Paris 
340,78700,Conflans-Sainte-Honorine 
341,92,Saint-Cloud 
342,75003,Paris
343,94,Villiers-sur-Marne 
344,93,Aubervilliers 
345,92430,Marnes-la-Coquette 
346,78560,Le Port-Marly 
347,95760,Valmondois 
348,95690,Nesles-la-Vallée 
349,95270,Luzarches 
350,78990,Élancourt 
351,78310,Maurepas 
352,78125,Orphin 
353,78660,Ablis 
354,91330,Yerres 
355,93110,Rosny-sous-Bois 
356,77320,Beton-Bazoches 
357,77144,Montévrain 
358,77700,Chessy 
359,91240,Saint-Michel-sur-Orge 
360,91190,Gif-sur-Yvette 
361,91510,Lardy 
362,91160,Saulx-les-Chartreux 
363,77173,Chevry-Cossigny 
364,77750,Bassevelle 
365,95480,Pierrelaye 
366,95280,Jouy-le-Moutier 
367,77680,Roissy-en-Brie 
368,78220,Viroflay 
369,91480,Quincy-sous-Sénart 
370,77710,Nanteau-sur-Lunain 
371,77370,Nangis 
372,78200,Mantes-la-Jolie 
373,94190,Villeneuve-Saint-Georges 
374,91530,Sermaise 
375,95250,Beauchamp 
376,78430,Louveciennes 
377,95670,Marly-la-Ville 
378,77169,Chauffry 
379,92360,Meudon La Foret 
380,91460,Marcoussis 
381,94600,Choisy-le-Roi 
382,95550,Bessancourt 
383,95190,Fontenay-en-Parisis 
384,77480,Bray-sur-Seine 
385,94450,Limeil-Brévannes 
386,95110,Sannois 
387,77240,Vert-Saint-Denis 
388,77124,Crégy-lès-Meaux 
389,95160,Montmorency 
390,75007,Paris
391,93330,Neuilly-sur-Marne 
392,91260,Juvisy-sur-Orge 
393,78540,Vernouillet 
394,78740,Vaux-sur-Seine 
395,77760,Larchant 
396,91410,Richarville 
397,78370,Plaisir 
398,78690,Les Essarts-le-Roi 
399,77360,Vaires-sur-Marne 
400,77210,Samoreau 
401,95400,Arnouville-lès-Gonesse 
402,77620,Bransles 
403,94340,Joinville-le-Pont 
404,95380,Villeron 
405,93290,Tremblay-en-France 
406,95400,Villiers-le-Bel 
407,77240,Cesson 
408,77390,Guignes 
409,91590,Boissy-le-Cutté 
410,77120,Chailly-en-Brie 
411,78410,Aubergenville 
412,92310,Sèvres 
413,95870,Bezons 
414,91390,Morsang-sur-Orge 
415,91080,Courcouronnes 
416,92380,Garches 
417,93470,Coubron 
418,77510,Hondevilliers 
419,77460,Chaintreaux 
420,78440,Sailly 
421,77176,Savigny-le-Temple 
422,95640,Santeuil 
423,95430,Butry-sur-Oise 
424,77730,Nanteuil-sur-Marne 
425,95380,Puiseux-en-France 
426,95380,Louvres 
427,77,la ferte sous jouarre 
428,77570,Château-Landon 
429,93120,La Courneuve 
430,77,villeneuve sur bellot 
431,78600,Maisons-Laffitte 
432,77220,Favières 
433,94440,Santeny 
434,95420,Genainville 
435,78810,Feucherolles 
436,77520,Donnemarie-Dontilly 
437,95130,Le Plessis-Bouchard 
438,95560,Montsoult 
439,95560,Maffliers 
440,95270,Belloy-en-France 
441,78955,Carrières-sous-Poissy 
442,91090,Lisses 
443,77140,Montcourt-Fromonville 
444,92340,Bourg-la-Reine 
445,77160,Provins 
446,78210,Saint-Cyr-l'École 
447,78520,Follainville-Dennemont 
448,78230,Le Pecq 
449,95,ARGENTEUIL 
450,95810,Vallangoujard 
451,78520,Guernes 
452,94310,Orly 
453,94370,Sucy-en-Brie 
454,78730,Saint-Arnoult-en-Yvelines 
455,77370,Rampillon 
456,94520,Périgny 
457,91290,La Norville 
458,91000,Évry 
459,77170,Brie-Comte-Robert 
460,77470,Boutigny 
461,78490,Boissy-sans-Avoir 
462,78200,Fontenay-Mauvoisin 
463,77120,Mouroux 
464,77560,Villiers-Saint-Georges 
465,78800,Houilles 
466,91410,Corbreuse 
467,77130,Saint-Germain-Laval 
468,95200,Sarcelles 
469,77510,Saint-Denis-lès-Rebais 
470,77515,La Celle-sur-Morin 
471,91270,Vigneux-sur-Seine 
472,77130,La Grande-Paroisse 
473,95270,Viarmes 
474,78320,Le Mesnil-Saint-Denis 
475,78400,Chatou 
476,77830,Échouboulains 
477,77910,Varreddes 
478,77820,Le Châtelet-en-Brie 
479,77700,Bailly-Romainvilliers 
480,77430,Champagne-sur-Seine 
481,93220,Gagny 
482,93250,Villemomble 
483,77600,Guermantes 
